-- This file was modified from its original using excel.  the OTH column is the sum of columns C,E,F,G,H,K,L,O,P,V,W,N,U
DISTRICT 16,16-355 WONDER PARK,2041,82,343,315,0,1,0,4,0,0,36,0,0,12,1,254,993,1312
DISTRICT 17,17-400 ROGERS PARK,1446,35,293,291,3,2,0,7,0,0,10,0,0,1,0,284,520,828
DISTRICT 17,17-405 UNIVERSITY NO. 1,1083,48,232,171,0,0,0,5,0,0,22,1,0,3,0,167,434,635
DISTRICT 17,17-410 UNIVERSITY NO. 2,1619,52,302,245,2,2,0,10,0,1,22,0,0,3,0,256,724,1023
DISTRICT 17,17-415 FAR N. BICENTENNIAL,1788,62,241,277,2,2,0,4,0,0,26,2,0,4,0,194,974,1212
DISTRICT 17,17-420 TUDOR NO. 1,3712,115,611,661,3,3,0,5,0,0,63,4,1,5,0,501,1740,2330
DISTRICT 17,17-425 TUDOR NO.2,2101,70,407,331,7,1,0,9,0,0,34,2,0,5,1,295,939,1297
DISTRICT 17,17-430 EAST ANCHORAGE,1526,43,287,221,1,1,0,6,0,0,28,0,2,2,1,172,762,976
DISTRICT 18,18-435 WEST ANCHORAGE NO. 1,966,19,202,189,0,1,0,3,0,0,3,1,0,1,0,200,347,557
DISTRICT 18,18-440 WEST ANCHORAGE NO. 2,1140,48,206,154,0,2,0,3,0,0,18,0,0,4,1,184,520,735
DISTRICT 18,18-445 SPENARD,1369,53,207,223,2,0,0,4,0,0,19,2,0,4,0,192,663,890
DISTRICT 18,18-450 WILLOW CREST,1667,49,251,240,3,1,0,4,0,0,28,0,1,8,1,232,849,1134
DISTRICT 18,18-455 WEST ANCHORAGE NO. 3,1990,59,337,231,4,2,0,12,0,1,34,3,0,4,3,282,1018,1364
DISTRICT 18,18-460 FIREWEED NO. 1,1962,51,446,271,2,1,0,13,0,0,23,0,1,3,2,299,850,1195
DISTRICT 18,18-465 FIREWEED NO. 2,1409,55,284,160,3,0,0,7,1,0,22,1,2,0,0,179,695,910
DISTRICT 18,18-470 FIREWEED NO. 3,979,41,194,110,3,1,0,2,0,0,11,0,0,1,0,133,483,635
DISTRICT 18,18-475 MIDTOWN NO. 1,1207,38,226,230,4,1,0,5,0,0,19,0,0,2,0,186,496,715
DISTRICT 18,18-480 MIDTOWN NO. 2,1467,39,319,234,0,0,0,6,0,0,18,1,1,2,0,293,554,877
DISTRICT 19,19-500 NORTH MT. VIEW NO. 1,2057,67,356,211,4,0,0,7,0,1,49,2,1,8,0,234,1117,1431
DISTRICT 19,19-505 NORTH MT. VIEW NO. 2,2566,108,436,260,5,1,0,9,0,0,51,0,1,9,2,279,1405,1769
DISTRICT 19,19-510 SOUTH MT. VIEW NO. 1,2527,73,438,317,5,0,0,8,0,0,49,2,1,11,1,297,1325,1709
DISTRICT 19,19-515 SOUTH MT. VIEW NO. 2,1382,50,199,192,0,1,0,2,0,0,27,0,0,13,1,149,748,953
DISTRICT 19,19-520 AIRPORT HEIGHTS NO.1,1859,62,344,215,9,1,0,4,2,1,39,1,1,10,0,250,920,1248
DISTRICT 19,19-525 AIRPORT HEIGHTS NO.2,1955,48,497,246,2,1,0,7,1,0,20,1,2,6,0,322,802,1170
DISTRICT 20,20-530 GOVERNMENT HILL,1610,50,298,240,0,2,0,6,1,0,24,0,0,5,2,244,738,1025
DISTRICT 20,20-535 MERRILL FIELD,3023,108,641,434,6,0,0,11,0,0,49,1,1,12,0,418,1342,1852
DISTRICT 20,20-540 DOWNTOWN ANCH NO. 1,924,26,190,188,2,0,0,1,0,0,11,0,0,1,1,166,338,520
DISTRICT 20,20-545 DOWNTOWN ANCH NO. 2,947,25,250,172,0,0,0,3,1,0,5,0,0,2,0,191,298,502
DISTRICT 20,20-550 DOWNTOWN ANCH NO. 3,1255,53,240,202,4,0,0,10,0,0,21,0,2,5,0,170,548,765
DISTRICT 20,20-555 DOWNTOWN ANCH NO. 4,2182,79,443,311,1,1,0,4,0,0,47,0,1,8,0,337,950,1357
DISTRICT 20,20-560 INLET VIEW,1094,21,308,154,1,0,0,4,0,0,5,0,0,2,1,242,356,612
DISTRICT 20,20-565 WESTCHESTER,735,24,202,91,1,0,0,6,0,0,8,0,0,0,0,131,272,418
DISTRICT 20,20-570 FAIRVIEW,2227,85,428,271,5,1,0,14,0,1,40,1,1,9,3,274,1094,1449
DISTRICT 21,21-600 TURNAGAIN NO. 1,1900,60,526,319,1,1,0,5,1,0,16,0,0,1,0,377,593,996
DISTRICT 21,21-605 SAND LAKE NO. 1,1838,60,258,401,0,3,0,4,1,0,27,1,1,0,0,289,793,1119
DISTRICT 21,21-610 SAND LAKE NO. 2,1867,68,258,368,3,0,0,7,0,0,31,0,0,0,1,267,864,1172
DISTRICT 21,21-615 SAND LAKE NO. 3,1340,54,185,282,0,2,0,3,0,0,13,0,0,2,1,185,613,820
DISTRICT 21,21-620 LAKE SPENARD,1817,57,293,378,2,0,0,3,0,0,26,0,0,5,0,280,773,1094
DISTRICT 21,21-625 LAKE HOOD,2027,53,354,332,2,0,0,2,0,0,23,0,0,5,0,327,929,1293
DISTRICT 21,21-630 TURNAGAIN NO. 2,1470,42,255,230,0,0,0,8,0,0,23,0,0,6,0,200,706,949
DISTRICT 21,21-635 TURNAGAIN NO. 3,2239,65,452,380,0,1,0,1,0,0,44,1,0,6,0,307,982,1348
DISTRICT 22,22-640 DIMOND NO. 1,2665,84,384,582,5,1,0,3,0,0,31,2,0,9,3,301,1260,1621
DISTRICT 22,22-645 KINCAID,3597,107,471,1037,2,3,0,3,0,1,36,0,0,2,1,562,1372,1983
DISTRICT 22,22-650 JEWEL LAKE NO. 1,1770,48,240,315,2,0,0,4,1,0,24,0,0,5,0,239,892,1172
DISTRICT 22,22-655 JEWEL LAKE NO. 2,1891,60,279,372,5,2,0,4,0,0,34,1,0,4,0,246,884,1184
DISTRICT 22,22-660 CAMPBELL LAKE,2517,75,400,635,1,2,0,9,0,0,31,2,2,6,1,391,962,1412
DISTRICT 22,22-665 SAND LAKE NO. 4,1880,64,236,443,1,0,0,4,0,0,18,0,1,4,0,281,828,1141
DISTRICT 22,22-670 SAND LAKE NO. 5,788,27,113,212,0,0,0,0,0,0,7,0,0,0,0,125,304,436
DISTRICT 23,23-735 NORTHWOOD,1113,40,170,188,1,0,0,3,0,0,12,0,0,3,0,162,534,718
DISTRICT 23,23-740 ARCTIC,1980,79,313,352,3,0,0,4,1,0,27,1,2,5,0,295,898,1241
DISTRICT 23,23-745 MIDTOWN NO. 3,1598,50,241,327,0,0,0,2,0,0,20,0,0,2,1,231,724,981
DISTRICT 23,23-750 TAKU,2274,84,327,469,2,2,0,6,1,0,41,0,1,7,1,271,1062,1400
DISTRICT 23,23-755 CAMPBELL CREEK NO. 1,1632,57,248,329,0,0,0,3,0,0,24,0,0,4,0,191,776,1002
DISTRICT 23,23-760 CAMPBELL CREEK NO. 2,1633,48,252,342,0,1,0,4,0,1,19,0,1,8,1,233,723,998
DISTRICT 23,23-765 CAMPBELL CREEK NO. 3,1975,58,314,406,4,3,0,1,0,1,26,0,1,3,2,302,854,1198
DISTRICT 23,23-770 DIMOND NO. 2,1920,72,267,300,2,3,0,6,0,0,19,1,0,4,0,213,1033,1285
DISTRICT 24,24-700 HUFFMAN NO. 1,1975,75,255,478,5,1,0,3,0,0,24,1,1,4,0,261,867,1171
DISTRICT 24,24-705 HUFFMAN NO. 2,1797,60,252,439,2,3,0,2,0,0,24,1,1,1,0,225,787,1047
DISTRICT 24,24-710 KLATT,2054,59,265,615,2,0,0,3,0,0,21,0,1,2,0,329,757,1117
DISTRICT 24,24-715 SOUTHPORT,2055,50,309,585,2,0,0,1,0,0,22,0,0,0,0,281,805,1111
DISTRICT 24,24-720 OCEAN VIEW NO.1,2066,71,268,472,3,0,0,5,0,0,25,0,0,6,0,291,925,1261
DISTRICT 24,24-725 OCEAN VIEW NO.2,1922,45,267,557,0,1,0,5,0,0,22,0,0,1,0,324,700,1054
DISTRICT 24,24-730 BAYSHORE,3050,88,423,846,1,3,0,6,0,0,29,0,0,5,0,439,1210,1698
DISTRICT 25,25-840 EAST DOWLING NO. 1,915,22,131,157,2,1,0,4,0,0,15,0,1,1,0,123,458,606
DISTRICT 25,25-845 ELMORE NO. 1,3213,110,445,649,2,2,0,5,0,0,52,0,0,4,0,408,1536,2013
DISTRICT 25,25-850 ABBOTT NO. 1,2193,59,357,546,0,0,0,2,0,0,16,0,0,3,0,351,859,1234
DISTRICT 25,25-855 LORE NO. 1,2071,70,301,463,2,0,0,7,0,0,31,1,0,7,1,290,898,1243
DISTRICT 25,25-860 LORE NO. 2,2407,74,388,451,0,3,0,7,0,0,38,3,0,9,0,311,1123,1503
DISTRICT 25,25-865 ABBOTT NO. 2,1649,53,247,368,3,0,0,1,0,0,22,2,0,7,0,240,706,988
DISTRICT 25,25-870 EAST DOWLING NO. 2,2630,65,382,518,3,1,0,8,0,0,41,0,1,5,0,325,1281,1670
DISTRICT 26,26-800 INDEPEND.PARK NO. 1,2647,101,399,636,1,1,0,6,0,0,32,1,0,10,1,359,1100,1520
DISTRICT 26,26-805 O'MALLEY NO. 1,1659,38,214,483,1,0,0,2,0,0,14,0,0,0,0,287,620,924
DISTRICT 26,26-810 HUFFMAN NO. 3,1924,43,227,614,2,3,0,4,0,0,18,0,0,0,0,249,764,1040
DISTRICT 26,26-815 HUFFMAN NO. 4,2150,60,244,670,2,1,0,1,0,0,18,0,0,4,0,301,849,1180
DISTRICT 26,26-820 O'MALLEY NO. 2,2204,68,319,721,0,1,0,4,0,0,18,0,0,2,0,353,718,1098
DISTRICT 26,26-825 INDEPEND. PARK NO. 2,2403,86,293,454,3,0,0,8,0,0,28,0,1,8,0,315,1207,1578
DISTRICT 26,26-830 ELMORE NO. 2,1081,29,149,296,0,0,0,2,0,0,12,0,0,2,0,167,424,609
DISTRICT 26,26-835 O'MALLEY NO. 3,1493,53,198,249,2,0,0,5,0,1,19,0,1,3,0,165,797,996
DISTRICT 27,27-900 CHENEY LAKE,2444,71,415,561,5,1,0,4,1,1,29,1,0,5,1,399,950,1401
DISTRICT 27,27-905 MULDOON NO. 3,1858,49,301,445,1,3,0,3,0,0,22,0,1,7,1,273,752,1069
DISTRICT 27,27-910 MULDOON NO. 4,2666,87,394,461,5,0,0,5,0,1,32,0,0,8,0,339,1334,1732
DISTRICT 27,27-915 CHUGACH FTHILLS NO.1,1535,45,224,290,4,0,0,3,0,0,24,0,0,6,0,199,740,982
DISTRICT 27,27-920 CHUGACH FTHILLS NO.2,2136,69,405,428,1,0,0,3,0,0,31,0,1,6,0,301,891,1240
DISTRICT 27,27-925 SCENIC PARK,1538,45,222,353,2,1,0,2,0,0,24,0,0,2,1,219,667,919
DISTRICT 27,27-930 BAXTER,2674,67,507,571,3,3,0,9,0,0,40,0,0,4,1,408,1061,1532
DISTRICT 27,27-935 STUCKAGAIN HEIGHTS,435,8,80,114,0,1,0,0,0,0,7,0,0,0,0,90,135,233
DISTRICT 28,28-105 RABBIT CREEK NO. 1,1669,40,196,510,0,1,0,1,1,0,21,0,1,0,0,255,643,923
DISTRICT 28,28-110 RABBIT CREEK NO. 2,2838,63,368,857,0,1,0,5,0,0,40,1,0,1,1,476,1025,1550
DISTRICT 28,28-115 HUFFMAN NO. 6,1812,41,222,633,1,0,0,0,0,0,20,1,0,3,1,265,625,918
DISTRICT 28,28-120 HUFFMAN NO. 7,1930,60,262,598,0,2,0,6,0,0,14,0,0,1,0,325,662,1011
DISTRICT 28,28-125 BEAR VALLEY,1348,25,200,351,1,0,0,5,0,0,15,1,0,1,0,228,521,773
DISTRICT 28,28-130 INDIAN,318,7,55,58,0,0,0,4,0,0,4,0,0,0,0,72,118,198
DISTRICT 28,28-135 GIRDWOOD,2042,59,429,258,1,2,0,14,0,0,33,0,0,3,2,406,835,1297
DISTRICT 28,28-140 GOLDEN VIEW,2973,74,395,1022,1,1,0,3,0,0,31,0,0,6,0,469,971,1488
DISTRICT 28,28-145 O'MALLEY NO. 4,1696,31,253,525,1,1,0,2,0,0,13,0,0,0,0,310,560,887
DISTRICT 29,29-100 BEAR CREEK,1932,45,256,469,2,0,0,6,0,0,17,1,2,2,0,301,831,1164
DISTRICT 29,29-110 COOPER LANDING,383,17,43,94,0,0,0,1,0,0,2,2,0,0,1,63,160,228
DISTRICT 29,29-115 FUNNY RIVER NO. 1,1087,45,73,396,0,2,0,5,0,0,11,1,1,3,0,157,393,576
DISTRICT 29,29-120 HOPE,183,8,30,28,0,0,0,0,0,0,1,0,0,0,0,47,69,117
DISTRICT 29,29-130 MACKEY LAKE,1327,33,92,515,2,2,0,3,0,1,9,0,0,1,0,167,502,688
DISTRICT 29,29-140 MOOSE PASS,384,11,63,82,0,1,0,1,0,0,4,0,0,0,0,68,154,228
DISTRICT 29,29-150 NIKISKI,2166,70,107,742,4,0,0,2,0,0,36,1,0,3,0,276,925,1250
DISTRICT 29,29-160 SALAMATOF,2472,79,120,854,2,1,0,0,0,1,31,0,0,3,1,345,1035,1421
DISTRICT 29,29-170 SEWARD/LOWELL POINT,1869,51,325,405,2,1,0,11,2,0,25,0,1,3,1,259,783,1090
DISTRICT 29,29-180 STERLING NO. 1,2235,63,117,881,0,1,0,0,0,0,22,0,0,1,0,262,888,1175
DISTRICT 29,29-190 STERLING NO. 2,2332,58,140,906,2,0,0,4,0,0,26,1,1,5,0,268,921,1233
DISTRICT 30,30-200 CENTRAL,2369,73,144,825,4,1,0,1,0,0,28,0,0,3,0,259,1031,1330
DISTRICT 30,30-210 K BEACH,3271,85,201,1288,4,1,0,5,0,0,30,0,0,2,2,377,1276,1697
DISTRICT 30,30-220 KENAI NO. 1,3055,102,225,868,2,1,0,9,0,0,38,1,0,2,1,400,1406,1861
DISTRICT 30,30-230 KENAI NO. 2,1729,52,122,468,1,0,0,5,0,1,24,0,0,5,0,220,831,1092
DISTRICT 30,30-240 KENAI NO. 3,1492,48,95,505,0,0,0,1,0,0,20,0,1,1,0,204,617,845
DISTRICT 30,30-250 SOLDOTNA,4928,144,379,1642,5,1,0,17,0,0,64,0,0,7,2,625,2042,2768
DISTRICT 31,31-300 ANCHOR POINT,2318,66,187,758,6,0,0,15,0,0,28,1,1,3,0,303,950,1310
DISTRICT 31,31-310 DIAMOND RIDGE,1320,41,237,298,3,1,0,9,0,0,14,1,0,2,0,212,502,746
DISTRICT 31,31-320 FOX RIVER,937,19,78,245,0,0,0,3,0,0,7,0,1,0,0,99,485,595
DISTRICT 31,31-340 FUNNY RIVER NO. 2,2146,61,142,767,2,0,0,3,0,0,32,0,1,3,0,254,881,1179
DISTRICT 31,31-350 HOMER NO. 1,2883,90,488,651,3,2,0,13,1,0,37,1,0,1,0,438,1158,1655
DISTRICT 31,31-360 HOMER NO. 2,2425,67,354,603,5,2,0,14,0,0,33,0,0,3,0,361,983,1404
DISTRICT 31,31-370 KACHEMAK/FRITZ CREEK,2049,75,370,447,4,2,0,12,0,0,21,0,1,0,0,312,805,1157
DISTRICT 31,31-380 KASILOF,2751,79,195,867,2,0,0,9,0,0,26,0,2,3,0,389,1179,1613
DISTRICT 31,31-390 NINILCHIK,1575,68,116,578,0,0,0,6,0,0,26,1,2,2,0,208,568,815
DISTRICT 32,32-800 CHINIAK,143,2,5,34,0,1,0,2,0,0,2,0,0,0,0,29,68,102
DISTRICT 32,32-805 CORDOVA,2050,64,339,388,2,0,0,10,1,0,14,0,2,4,0,335,891,1263
DISTRICT 32,32-810 FLATS,1802,41,183,633,1,1,0,2,0,0,25,0,0,2,0,205,709,947
DISTRICT 32,32-815 KODIAK ISLAND SOUTH,156,6,29,33,0,0,0,0,0,0,0,0,0,0,0,20,68,88
DISTRICT 32,32-820 KODIAK NO. 1,2043,41,258,450,5,0,0,2,0,0,18,3,1,1,2,260,1002,1293
DISTRICT 32,32-825 KODIAK NO. 2,1962,44,219,415,4,1,0,1,0,0,14,1,0,4,0,187,1072,1288
DISTRICT 32,32-830 MISSION ROAD,3594,91,364,1022,2,6,0,7,0,0,27,1,0,3,0,400,1671,2120
DISTRICT 32,32-835 OLD HARBOR,140,3,19,26,0,0,0,0,0,0,0,0,0,0,0,6,86,92
DISTRICT 32,32-840 OUZINKIE,142,4,16,16,0,0,0,0,0,0,0,0,0,0,0,22,84,106
DISTRICT 32,32-845 PORT LIONS,180,3,11,50,0,0,0,0,0,0,1,0,0,1,0,33,81,117
DISTRICT 32,32-847 SELDOVIA/KACHEMAK,493,14,67,140,1,0,0,1,0,0,5,0,0,1,0,82,182,273
DISTRICT 32,32-850 TATITLEK,139,3,28,27,1,0,0,0,0,0,2,0,0,0,0,6,72,81
DISTRICT 32,32-855 TYONEK,407,16,87,41,1,0,0,1,0,0,3,0,0,1,0,47,210,264
DISTRICT 32,32-860 YAKUTAT,502,28,68,90,0,0,0,2,0,0,5,0,1,1,0,80,227,317
DISTRICT 33,33-500 DOUGLAS,1809,55,443,196,1,2,0,8,1,1,13,1,1,2,1,343,741,1116
DISTRICT 33,33-505 GUSTAVUS,558,26,157,86,0,0,0,4,0,0,5,0,0,0,0,97,183,289
DISTRICT 33,33-510 JUNEAU NO. 1,2515,78,648,315,0,2,0,12,0,0,25,0,0,3,2,480,950,1475
DISTRICT 33,33-515 JUNEAU NO. 2,2442,50,816,192,0,0,0,14,0,1,20,0,1,4,1,492,851,1387
DISTRICT 33,33-520 JUNEAU NO. 3,1128,26,298,149,0,0,0,5,0,0,7,0,0,1,0,213,429,656
DISTRICT 33,33-525 LEMON CREEK,2383,66,391,270,1,0,0,9,0,0,22,1,2,6,0,370,1245,1662
